w[0],w[1],w[2],w[3],b,count
-39.878330,-27.769863,-24.863213,-6.751926,35.000000,3
-40.397800,-24.506563,-27.952713,-5.767006,34.000000,90
-38.380100,-22.708363,-30.910812,-5.557106,35.000000,43
-41.466702,-29.344563,-20.370312,-6.448926,36.000000,29
-40.821983,-24.738361,-28.717312,-3.739027,35.000000,4
-41.341484,-21.475061,-31.806812,-2.754127,34.000000,90
-45.091785,-34.933662,-14.213612,-5.531227,35.000000,20
-45.421024,-30.478462,-18.785412,-4.542427,34.000000,53
-45.152256,-25.491463,-23.936213,-10.933727,35.000000,76
-43.419155,-21.537064,-28.677412,-13.435427,36.000000,2
-43.292915,-31.858664,-24.965313,-7.316926,35.000000,77
-42.065014,-27.827763,-29.608812,-11.229426,36.000000,12
-42.394215,-23.372562,-34.180611,-10.240626,35.000000,4
-43.054295,-26.598562,-30.374811,-9.057026,36.000000,95
-43.573795,-23.335262,-33.464310,-8.072126,35.000000,10
-45.105995,-28.431862,-26.786409,-7.897146,36.000000,37
-42.714294,-23.875362,-31.775209,-10.795846,37.000000,16
-40.855896,-31.761362,-30.110909,-8.957446,36.000000,50
-41.375397,-28.498062,-33.200409,-7.972546,35.000000,3
-44.214497,-35.128063,-22.715508,-8.393676,36.000000,16
-43.150795,-31.432364,-26.874908,-10.331575,37.000000,38
-43.480034,-26.977163,-31.446709,-9.342775,36.000000,32
-43.809235,-22.521963,-36.018509,-8.353975,35.000000,29
-47.559536,-35.980564,-18.425308,-11.131075,36.000000,21
-47.398457,-29.518164,-26.782608,-9.609475,35.000000,51
-47.917957,-26.254864,-29.872108,-8.624575,34.000000,16
-46.327557,-24.042763,-32.990410,-8.741825,35.000000,1
-45.540657,-33.609062,-29.203711,-1.238425,34.000000,44
-46.060127,-30.345762,-32.293209,-0.253505,33.000000,98
-46.579628,-27.082462,-35.382710,0.731395,32.000000,53
-44.899727,-22.875662,-39.922508,-1.661705,33.000000,31
-45.453278,-30.798962,-33.206909,-0.917765,34.000000,53
-43.963676,-27.370161,-37.237808,-2.343665,35.000000,20
-47.985477,-35.674160,-24.682808,-3.853565,36.000000,13
-47.712166,-30.796860,-29.602207,-9.673365,37.000000,39
-45.979065,-26.842461,-34.343407,-12.175064,38.000000,32
-43.948067,-24.990461,-37.355507,-12.172061,39.000000,29
-47.546566,-38.649761,-19.750307,-14.664761,40.000000,24
-51.303566,-33.226162,-23.575808,-13.412161,39.000000,83
-49.109264,-28.675861,-28.551807,-16.137562,40.000000,42
-47.091564,-26.877661,-31.509907,-15.927662,41.000000,22
-44.443665,-37.015060,-30.178907,-10.456963,40.000000,152
-42.954063,-33.586262,-34.209808,-11.882862,41.000000,67
-43.473564,-30.322962,-37.299309,-10.897963,40.000000,5
-46.560165,-36.959160,-26.758808,-11.789783,41.000000,4
-47.079636,-33.695862,-29.848309,-10.804863,40.000000,36
-47.599136,-30.432562,-32.937809,-9.819963,39.000000,36
-45.581436,-28.634361,-35.895908,-9.610064,40.000000,50
-44.794537,-38.200661,-32.109207,-2.106664,39.000000,14
